date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:46	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:46%20GMT	https://chetslottt.vercel.app/robots.txt		(from )
03:49:46	28173/28173	---MCZ	200	added ('OK')	text/html	etag:W/%223099da945c22f138b3e823d99b60306b%22	https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/index2fca.html	(from )
03:49:46	3580/3580	---M--	200	added ('OK')	image/png	etag:%22308f1acfa70d3d5e0706626e8c6e2906%22	https://chetslottt.vercel.app/images/favicon.png	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/images/favicon.png	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:47	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:46%20GMT	https://chetslottt.vercel.app/index-2.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/index-2.html	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:47	86733/86733	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bca206c7999013d738e0238b3733cc1%22	https://chetslottt.vercel.app/js/jquery.min.js	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/js/jquery.min.js	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:47	253707/253707	---MCZ	200	added ('OK')	application/javascript	etag:W/%2270d45a734004e2533076dee1cecb2e7f%22	https://chetslottt.vercel.app/js/jquery-ui.min.js	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/js/jquery-ui.min.js	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:47	37794/37794	---MCZ	200	added ('OK')	text/css	etag:W/%22b68d02dbeaf3ad5e51cc22439eb2d19b%22	https://chetslottt.vercel.app/css/jquery-ui.css	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/jquery-ui.css	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:48	17418/17418	---MCZ	200	added ('OK')	text/css	etag:W/%22179e1f5354d2b5298a0d669a37ee7b05%22	https://chetslottt.vercel.app/css/style.css	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/css/style.css	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:48	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2020:49:47%20GMT	https://chetslottt.vercel.app/usertrack.com-getfree.pro/server/ust.min.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/usertrack.com-getfree.pro/server/ust.min.html	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
03:49:49	3012/3012	---MCZ	200	added ('OK')	text/html	etag:W/%2241c985315b3e69ea2299e7a8144b9017%22	https://chetslottt.vercel.app/iframe.html	C:/Users/user/Documents/tester%20httpcopier/gac0rabies/chetslottt.vercel.app/iframe.html	(from https://chetslottt.vercel.app/?fbclid=IwAR1J9D8Q5Z3cMKz39UdnMhTbOSZWCSTnzPLQRzQ6SvrwahKFav9dHuQ3o0M)
